 ,open,high,low,adjclose,volume,ticker
2017-06-14,656,656,656,19,9800,IRO1DAML0001
2017-06-17,653,710,653,27,28347,IRO1DAML0001
2017-06-18,642,642,642,11,4032,IRO1DAML0001
2017-06-19,642,642,642,20,90,IRO1DAML0001
2017-06-20,641,681,640,26,23071,IRO1DAML0001
2017-06-21,669,669,669,18,980,IRO1DAML0001
2017-06-24,646,646,632,16,17120,IRO1DAML0001
2017-06-25,652,652,627,20,12671,IRO1DAML0001
2017-06-28,623,635,623,17,23966,IRO1DAML0001
2017-07-01,615,635,615,20,10568,IRO1DAML0001
2017-07-03,611,612,611,16,15055,IRO1DAML0001
2017-07-04,606,655,606,19,15168,IRO1DAML0001
2017-07-05,601,601,601,19,12603,IRO1DAML0001
2017-07-08,597,597,597,19,5135,IRO1DAML0001
2017-07-09,595,595,595,19,7200,IRO1DAML0001
2017-07-10,653,653,653,29,200,IRO1DAML0001
2017-07-11,593,610,593,10,18980,IRO1DAML0001
2017-07-12,587,589,587,18,224057,IRO1DAML0001
2017-07-15,569,577,561,17,31603,IRO1DAML0001
2017-07-16,551,575,551,17,34165,IRO1DAML0001
2017-07-17,560,560,546,17,7600,IRO1DAML0001
2017-07-18,543,598,543,23,32694,IRO1DAML0001
2017-07-19,549,587,549,20,12139,IRO1DAML0001
2017-07-22,570,570,552,18,12231,IRO1DAML0001
2017-07-23,570,592,570,23,3296,IRO1DAML0001
2017-07-24,581,582,560,17,40786,IRO1DAML0001
2017-07-25,568,595,567,25,180788,IRO1DAML0001
2017-07-26,570,598,570,20,16801,IRO1DAML0001
2017-07-29,598,609,580,22,69396,IRO1DAML0001
2017-07-30,630,630,623,23,49620,IRO1DAML0001
2017-07-31,645,645,636,22,108625,IRO1DAML0001
2017-08-01,676,676,631,24,98173,IRO1DAML0001
2017-08-02,629,681,629,18,60172,IRO1DAML0001
2017-08-06,690,690,637,15,111367,IRO1DAML0001
2017-08-07,687,687,627,19,60606,IRO1DAML0001
2017-08-08,658,658,610,16,42822,IRO1DAML0001
2017-08-09,646,646,595,17,31222,IRO1DAML0001
2017-08-12,631,631,585,18,46003,IRO1DAML0001
2017-08-13,574,594,574,18,46047,IRO1DAML0001
2017-08-14,611,611,569,23,17640,IRO1DAML0001
2017-08-15,571,609,569,20,16010,IRO1DAML0001
2017-08-16,594,611,594,21,7400,IRO1DAML0001
2017-08-19,577,610,574,13,6232,IRO1DAML0001
2017-08-20,577,600,577,20,3473,IRO1DAML0001
2017-08-21,585,587,569,21,4718,IRO1DAML0001
2017-08-22,586,586,560,15,62700,IRO1DAML0001
2017-08-23,586,586,565,24,42597,IRO1DAML0001
2017-08-26,556,572,544,17,11430,IRO1DAML0001
2017-08-27,585,585,544,20,14380,IRO1DAML0001
2017-08-28,555,555,550,16,13123,IRO1DAML0001
2017-08-29,575,595,565,27,111370,IRO1DAML0001
2017-08-30,609,609,566,15,84091,IRO1DAML0001
2017-09-02,564,588,564,23,6128,IRO1DAML0001
2017-09-03,600,600,557,20,27401,IRO1DAML0001
2017-09-04,587,587,561,15,19184,IRO1DAML0001
2017-09-05,575,577,565,20,20088,IRO1DAML0001
2017-09-06,566,582,560,19,7467,IRO1DAML0001
2017-09-10,550,568,550,21,8402,IRO1DAML0001
2017-09-11,555,574,555,21,4530,IRO1DAML0001
2017-09-12,574,574,554,16,6590,IRO1DAML0001
2017-09-13,550,570,543,18,56869,IRO1DAML0001
2017-09-16,535,570,535,22,2717,IRO1DAML0001
2017-09-17,543,575,543,20,22737,IRO1DAML0001
2017-09-18,574,583,574,24,55264,IRO1DAML0001
2017-09-19,583,597,565,21,59365,IRO1DAML0001
2017-09-20,568,592,568,19,12226,IRO1DAML0001
2017-09-23,567,568,561,14,56719,IRO1DAML0001
2017-09-24,561,579,561,20,13902,IRO1DAML0001
2017-09-25,563,587,563,23,3690,IRO1DAML0001
2017-09-26,562,587,562,20,29622,IRO1DAML0001
2017-09-27,585,602,577,21,207861,IRO1DAML0001
2017-10-02,598,598,572,16,28805,IRO1DAML0001
2017-10-03,572,577,560,17,31896,IRO1DAML0001
2017-10-04,557,586,557,24,78383,IRO1DAML0001
2017-10-07,576,576,575,18,2210,IRO1DAML0001
2017-10-08,548,554,547,15,20783,IRO1DAML0001
2017-10-09,542,559,542,19,4177,IRO1DAML0001
2017-10-10,551,554,543,22,28273,IRO1DAML0001
2017-10-11,549,573,549,19,31997,IRO1DAML0001
